ID,x1,y1,x2,y2,c
IMG_4843.JPG,1373,1137,1531,1000,1
IMG_4843.JPG,1989,1128,2148,994,1
IMG_4843.JPG,1233,1868,1393,1724,1
IMG_4843.JPG,1885,1653,2044,1515,1
IMG_4843.JPG,1537,2177,1701,2037,1
IMG_4843.JPG,1778,2341,1939,2190,1
IMG_4843.JPG,1202,2655,1361,2508,1
IMG_4843.JPG,1153,3037,1315,2878,1
IMG_4843.JPG,1776,3055,1946,2895,1
IMG_4843.JPG,3811,1727,4040,1502,1
IMG_4843.JPG,3914,435,4116,238,1
IMG_4843.JPG,2651,1182,2837,1001,0
IMG_4843.JPG,2500,3448,2702,3241,0
IMG_4843.JPG,4906,3394,5110,3187,0
IMG_4843.JPG,4777,1101,4981,919,0
IMG_4844.JPG,2934,966,3110,812,1
IMG_4844.JPG,2896,1770,3071,1611,1
IMG_4844.JPG,3266,2079,3453,1919,1
IMG_4844.JPG,2973,2627,3156,2467,1
IMG_4844.JPG,2974,3038,3156,2863,1
IMG_4844.JPG,3598,896,3772,749,1
IMG_4844.JPG,3566,1481,3749,1318,1
IMG_4844.JPG,3558,2225,3727,2065,1
IMG_4844.JPG,3658,2986,3835,2822,1
IMG_4844.JPG,4551,849,4768,649,0
IMG_4844.JPG,4639,3307,4855,3090,0
IMG_4844.JPG,2080,3350,2291,3127,0
IMG_4844.JPG,2262,925,2472,730,0
IMG_4845.JPG,1574,1048,1869,765,0
IMG_4845.JPG,1558,3349,1836,3077,0
IMG_4845.JPG,4234,1216,4507,939,0
IMG_4845.JPG,4082,3245,4370,2967,0
IMG_4845.JPG,4333,2222,4610,1941,1
IMG_4845.JPG,2493,837,2688,663,1
IMG_4845.JPG,3241,810,3443,626,1
IMG_4845.JPG,3243,1256,3440,1069,1
IMG_4845.JPG,2575,1695,2777,1505,1
IMG_4845.JPG,2889,1859,3095,1677,1
IMG_4845.JPG,2539,2537,2729,2363,1
IMG_4845.JPG,3304,2220,3502,2032,1
IMG_4845.JPG,2477,3210,2681,3028,1
IMG_4845.JPG,3237,3148,3438,2964,1
IMG_4846.JPG,1573,1787,1752,1595,1
IMG_4846.JPG,1990,1797,2175,1603,1
IMG_4846.JPG,1592,2503,1765,2314,1
IMG_4846.JPG,2410,2427,2581,2244,1
IMG_4846.JPG,2576,2137,2752,1940,1
IMG_4846.JPG,2916,1740,3089,1551,1
IMG_4846.JPG,3233,2484,3395,2294,1
IMG_4846.JPG,3819,1811,3994,1624,1
IMG_4846.JPG,3876,2546,4048,2354,1
IMG_4846.JPG,1671,1206,1953,925,0
IMG_4846.JPG,4117,1127,4391,857,0
IMG_4846.JPG,4081,3361,4363,3078,0
