ID,x1,y1,x2,y2,c
IMG_4843_seq0.jpeg,1373.0,1137.0,1531.0,1000.0,1.0
IMG_4843_seq0.jpeg,1989.0,1128.0,2148.0,994.0,1.0
IMG_4843_seq0.jpeg,1233.0,1868.0,1393.0,1724.0,1.0
IMG_4843_seq0.jpeg,1885.0,1653.0,2044.0,1515.0,1.0
IMG_4843_seq0.jpeg,1537.0,2177.0,1701.0,2037.0,1.0
IMG_4843_seq0.jpeg,1778.0,2341.0,1939.0,2190.0,1.0
IMG_4843_seq0.jpeg,1202.0,2655.0,1361.0,2508.0,1.0
IMG_4843_seq0.jpeg,1153.0,3037.0,1315.0,2878.0,1.0
IMG_4843_seq0.jpeg,1776.0,3055.0,1946.0,2895.0,1.0
IMG_4843_seq0.jpeg,3811.0,1727.0,4040.0,1502.0,1.0
IMG_4843_seq0.jpeg,3914.0,435.0,4116.0,238.0,1.0
IMG_4843_seq0.jpeg,2651.0,1182.0,2837.0,1001.0,0.0
IMG_4843_seq0.jpeg,2500.0,3448.0,2702.0,3241.0,0.0
IMG_4843_seq0.jpeg,4906.0,3394.0,5110.0,3187.0,0.0
IMG_4843_seq0.jpeg,4777.0,1101.0,4981.0,919.0,0.0
IMG_4843_seq1.jpeg,1497.0571473059215,2979.3333333333335,1702.1402059217448,3084.6666666666665,1.0
IMG_4843_seq1.jpeg,1499.0243708897663,2568.0,1698.6975646500173,2674.0,1.0
IMG_4843_seq1.jpeg,2563.292329749823,3071.3333333333335,2778.7033121808327,3178.0,1.0
IMG_4843_seq1.jpeg,2265.749762693292,2637.3333333333335,2472.3082389969995,2743.3333333333335,1.0
IMG_4843_seq1.jpeg,3030.016125017011,2866.0,3239.525436696486,2975.3333333333335,1.0
IMG_4843_seq1.jpeg,3259.6894784308956,2707.3333333333335,3485.4283846770904,2814.6666666666665,1.0
IMG_4843_seq1.jpeg,3720.0197970505874,3092.6666666666665,3938.8734207533257,3198.6666666666665,1.0
IMG_4843_seq1.jpeg,4264.940729775608,3123.3333333333335,4501.49936573295,3231.3333333333335,1.0
IMG_4843_seq1.jpeg,4299.858948388854,2702.6666666666665,4538.876613826002,2816.0,1.0
IMG_4843_seq1.jpeg,2278.044910092322,1306.6666666666667,2613.948337033828,1459.3333333333333,1.0
IMG_4843_seq1.jpeg,415.08417619125987,1256.0,708.6922960801019,1390.6666666666667,1.0
IMG_4843_seq1.jpeg,1520.1720244160983,2108.6666666666665,1790.1734612988023,2232.6666666666665,0.0
IMG_4843_seq1.jpeg,4822.156809899659,2198.6666666666665,5131.502718459259,2333.3333333333335,0.0
IMG_4843_seq1.jpeg,4781.828726430839,593.3333333333334,5091.17463499044,729.3333333333334,0.0
IMG_4843_seq1.jpeg,1433.6141867269255,679.3333333333334,1706.0746530894355,815.3333333333334,0.0
IMG_4843_seq2.jpeg,2247.0,2481.3333333333335,2452.5,2586.6666666666665,1.0
IMG_4843_seq2.jpeg,2238.0,2070.0,2439.0,2176.0,1.0
IMG_4843_seq2.jpeg,3332.9999999999995,2573.3333333333335,3548.9999999999995,2680.0,1.0
