ID,x1,y1,x2,y2,c
-10full-1.jpeg,32,271,280,31,0
-10full-10.jpeg,76,253,249,80,0
-10full-11.jpeg,44,274,258,61,0
-10full-12.jpeg,45,252,259,40,0
-10full-13.jpeg,54,253,268,40,0
-10full-14.jpeg,45,263,265,43,0
-10full-15.jpeg,67,237,242,61,0
-10full-16.jpeg,56,230,234,54,0
-10full-17.jpeg,53,246,243,65,0
-10full-18.jpeg,69,238,246,58,0
-10full-19.jpeg,61,239,243,64,0
-10full-2.jpeg,35,267,274,35,0
-10full-20.jpeg,64,237,249,57,0
-10full-21.jpeg,22,273,280,27,0
-10full-22.jpeg,69,242,255,62,0
-10full-23.jpeg,35,264,264,36,0
-10full-24.jpeg,40,266,271,38,0
-10full-25.jpeg,15,270,263,18,0
-10full-26.jpeg,26,278,276,32,0
-10full-27.jpeg,23,267,287,13,0
-10full-28.jpeg,31,281,295,17,0
-10full-29.jpeg,21,288,290,14,0
-10full-3.jpeg,15,287,290,23,0
-10full-30.jpeg,22,270,279,14,0
-10full-31.jpeg,90,226,197,127,0
-10full-32.jpeg,112,203,219,105,0
-10full-33.jpeg,50,272,268,41,0
-10full-34.jpeg,49,270,282,34,0
-10full-4.jpeg,28,275,274,28,0
-10full-5.jpeg,16,262,270,9,0
-10full-6.jpeg,28,276,279,23,0
-10full-7.jpeg,40,258,262,35,0
-10full-8.jpeg,80,200,207,70,0
-10full-9.jpeg,93,259,219,56,0
-10low-1.jpeg,23,275,258,45,0
-10low-10.jpeg,95,217,221,97,0
-10low-11.jpeg,54,247,267,35,0
-10low-12.jpeg,73,257,281,49,0
-10low-13.jpeg,31,262,250,47,0
-10low-14.jpeg,51,266,263,52,0
-10low-15.jpeg,65,208,245,28,0
-10low-16.jpeg,43,232,223,56,0
-10low-17.jpeg,39,220,227,38,0
-10low-18.jpeg,43,252,233,76,0
-10low-19.jpeg,84,222,271,50,0
-10low-2.jpeg,15,283,261,38,0
-10low-20.jpeg,71,255,259,72,0
-10low-21.jpeg,73,230,256,57,0
